Episode,Timestep,Action
18,2,"[[ 1.4529414   0.99637574 -2.6496313   0.6199063  -2.0806208  -5.2006836
  -0.5777538   1.1844519   0.67770654 -0.5035981   0.27894646  1.7701517
  -0.76389015  1.7292036  -0.3566712   1.7476255   0.08883429 -1.3503783
  -0.77688116 -0.69188476 -0.65151066 -0.9852807  -0.4438992   2.3026195 ]]"
19,2,"[[ 0.5719565   0.74259156 -1.3632488   0.24988434 -0.1212768  -5.8733544
  -0.8101889   0.91418976  1.3637534  -0.29409415 -0.06605113 -0.07469153
   0.22473246  0.69117033 -1.5068278   1.8751866   0.23846948 -1.5155602
  -1.0401     -0.42068416  0.17533997  0.3396302  -0.5237783   0.6848253 ]]"
20,2,"[[ 0.78937936  0.7645931  -1.3669535   0.06816261 -0.7590166  -4.470193
   0.43058658  1.5866976   2.293043   -0.19809005 -1.3407629  -0.03932077
  -0.21065831  0.29194355 -2.4833562   2.1929715  -0.39045647 -1.5663135
  -1.3686497  -0.89756715  0.32407904  0.7318084   0.1049      1.3333071 ]]"
21,2,"[[ 0.7360848   1.0917869  -0.6513711   0.11750746 -0.70539457 -4.9179754
  -0.64999485  1.4264545   2.9351845  -0.97104275  0.04861932  1.7274976
  -1.0871693   0.9211069  -1.994091    1.3264035  -1.1916466  -1.5084805
  -1.5853732  -0.7064622   0.15321454  0.35557586 -0.3066595   0.97036666]]"
22,2,"[[ 0.5409407   0.44777423 -1.339803    0.4367583  -0.13323587 -5.157373
   0.46452343  1.099365    0.9421806  -1.1375155   0.16203646  0.78150207
  -0.893636    1.1847343  -1.5787213   1.4837686  -0.57132065 -1.1735791
  -1.1765127  -2.0439012  -0.10474483 -1.0697837  -0.7527721   0.38995945]]"
23,2,"[[ 0.5923009  -0.24370539 -1.6437002   0.91311944 -1.1924493  -5.132681
  -0.964555    0.10762835  1.0952768  -0.568954   -0.2802059   1.2294974
  -1.1043708   1.0686523  -0.568437    1.1093795  -1.0407282  -0.6030477
  -1.6761987  -0.52374625 -0.03141396 -0.09411468 -1.3326101   0.6238064 ]]"
24,2,"[[ 1.4053313  -0.19305784 -1.6692635   0.11729388 -0.04596937 -4.145616
  -0.5578075   1.0418226   0.9952254  -0.21364239 -1.1028587  -0.65073526
  -0.72267723  0.9089184  -1.5412425   1.94135    -0.42558992 -0.81166494
  -0.65928435 -0.9887061  -0.6553836   0.20299277 -0.75923854  1.6744889 ]]"
25,2,"[[ 1.4463352   0.79655695 -2.016789    0.4044998  -1.195186   -4.476674
  -1.040618    0.6315098   1.4577355  -0.00462908 -0.02010055  1.1357689
  -0.556904    0.9771294  -1.609683    2.2889357  -1.512723   -0.10394388
  -1.4470643  -0.8634606   0.29269814  0.8129151  -1.2459276   1.9702466 ]]"
26,2,"[[ 0.5447202  -0.10383409 -1.3026717  -0.18410696 -1.0907646  -4.583687
   0.27284586  2.1093967   1.0909435  -0.86037093 -0.72367716  0.5752684
  -0.726632    2.0241868  -0.8520461   1.1666429  -0.7102493  -1.0192939
   0.51010436 -0.77516806  0.01727965  1.1267291  -1.4115913   2.418491  ]]"
27,2,"[[ 1.7094944   1.3755198  -2.9694753   0.7700776  -1.78298    -4.824156
  -0.33809677  0.16620827  2.2289455  -0.40016887  0.01219943  1.2926284
  -0.31564584  1.5191648  -1.282564    1.2685539   0.0978038   0.08486271
   0.17846155 -0.62060857 -0.29345793  0.36057022 -1.4315629   1.098289  ]]"
28,2,"[[ 1.0600741   0.39418292 -2.090323    1.0706308  -0.9427611  -5.0635552
  -0.0609034   1.2114749   1.5576737  -0.71241146  0.04473546  1.4135535
  -0.5672318   2.1212993  -1.1130029   1.2202082  -0.26992655 -1.1640888
   0.15752697 -1.1705227   0.27658755  0.23749681 -1.0293038   1.5730345 ]]"
29,2,"[[ 0.6404986   0.5924196  -0.9348108   0.2529779   0.3358431  -4.41348
  -0.08857776 -0.6149757   1.3399742  -1.6625117  -0.7460151  -0.28585792
  -0.19535172  0.78443253 -1.9414682   1.9385245  -0.30516538 -2.0363436
  -0.89697474 -0.9674518  -1.0140116   0.05205005 -0.7594763   2.2345    ]]"
30,2,"[[ 1.4050843   1.1919396  -1.3327405   0.2894134  -1.2216241  -4.998827
  -0.73989385 -0.20570445  1.6231728  -0.41437954 -0.31633365  0.80271554
  -0.2911177   1.2982444  -0.67476034  1.7603437  -0.89905643 -1.5030413
   0.31233817 -1.6443214  -0.4330425   0.47700796 -1.2804804   1.3653157 ]]"
