Episode,Timestep,Action
149,2,"[[ 1.4547012   0.21676734 -2.1268072   0.12042083 -1.7907612  -3.7236662
  -0.35656425  1.0694939   1.3347429  -0.43382293 -0.4406892   1.0911608
  -0.8742173   0.6878198  -0.5593547   1.9827149   0.48268482 -0.24409276
  -1.2029257  -1.818847   -0.3925904  -0.5106667  -0.79290515  1.7299831 ]]"
150,2,"[[-0.04533827  1.2171953  -1.5325743  -0.17152148 -0.68578184 -4.569179
  -0.5927355  -0.4050634   0.82364357 -0.49663615 -0.35968572  0.07962865
  -0.9143314   1.3371285  -1.4186932   0.81871027 -0.4738177  -1.6614575
  -1.2794412  -1.3263958  -1.5040002   0.3493583  -0.63880247  1.2222526 ]]"
151,2,"[[ 9.3071830e-01  1.0622470e+00 -2.3144727e+00  9.2491156e-01
  -1.0087545e+00 -4.6249409e+00 -3.4345463e-01  1.0308671e-01
   1.4742391e+00 -1.2465575e+00 -8.4065890e-01  1.2761607e+00
   1.2539619e-01  1.7389734e+00 -2.4385102e+00  1.1841671e+00
  -6.5722579e-01 -2.0443339e+00 -4.3698639e-01 -5.9823239e-01
   1.2055945e+00  2.5002807e-03 -3.6394709e-01  1.1437902e+00]]"
152,2,"[[ 1.5272545   1.7541795  -1.882479   -0.3575425  -0.4336698  -3.839354
   0.03549287  1.2449894   1.1484313  -0.69707024  0.02679354  0.82936984
  -0.18753421  1.9415118  -1.2393564   1.5655099  -0.50310725 -0.91509813
  -0.6069514  -0.81699646  0.8243858  -0.61001325  0.14923918  1.7038306 ]]"
153,2,"[[ 1.3941071   0.34259117 -2.128365   -0.09284236 -0.24162263 -4.677145
  -1.6555358   1.0013868   1.2341151  -0.4948392  -0.78103065  1.8032652
  -1.1356068   1.5940158  -0.86666405  1.9338857  -0.97010237 -0.5814674
  -0.7685232  -1.1344733  -0.03730972  0.7183486  -0.12241828  2.1643174 ]]"
154,2,"[[ 1.290313    0.40602028 -2.3582149   0.647007   -0.95989335 -4.56142
  -0.21990626  1.1249635   1.5628377  -1.0263503  -0.8490923   1.230842
  -0.23840374  1.7799296  -0.562972    0.6931316  -0.6420466  -0.93812615
  -0.31083512 -0.48053417 -0.55732846  1.32475    -1.9302619   2.439218  ]]"
155,2,"[[-0.21062344  1.1889168  -1.235043   -0.7883943   0.137573   -4.0046496
  -0.26855493 -0.21219015  1.2379174  -1.3233439  -1.1139597   0.74151033
  -0.3522379   1.2547423  -3.555096    1.6272867  -0.43898693 -1.585221
  -1.5410712  -1.342941   -0.7310786   0.5689341  -0.24274266  1.2430264 ]]"
156,2,"[[ 0.69504994  0.2828766  -2.2793844  -0.43667018 -0.89585155 -4.6340337
  -0.28103402  0.43196255  0.93381673 -0.6467372  -1.1316206   1.527463
  -0.15447223  1.3382363  -1.6083963   1.9372997  -0.35267612 -1.1187495
  -1.1519601  -0.96231496  0.6385747   0.6050128  -0.4845373   1.2914982 ]]"
157,2,"[[ 0.06204796  0.858279   -2.57752     0.5407458  -2.4563284  -4.2397556
   0.12754238  1.0637172   1.5433047  -1.4909801   0.3684101   0.38730955
  -1.4654114   1.7239578  -3.121027    2.1673017  -0.3156157  -1.7602439
  -1.5522084  -0.14569235  0.43308598 -0.260812   -0.6557696  -0.08367944]]"
158,2,"[[ 1.1691971   0.6253295  -2.3584056  -1.5016767  -0.5591054  -5.0175266
   0.46924567  0.88477826  2.055498   -0.7517923  -0.06929995  0.39847398
  -0.5933241   1.7520404  -0.8737397   1.4289511   0.48185956 -1.4340583
  -0.89241934 -1.1735929  -0.3472008   0.1910999  -0.41764277  0.7685608 ]]"
159,2,"[[ 0.5785413   0.53829694 -1.7086892   0.9207967  -1.8814054  -4.1410975
  -0.5550375   2.0741882   0.8012993  -0.62023026  0.21482831  1.1495184
  -1.0532602   0.6474421  -0.550899    1.6800994  -0.38322157 -2.311252
  -0.3940799  -0.5888641   0.06546301  1.2418807  -0.5851048   2.286838  ]]"
160,2,"[[ 1.3387194   0.78599364 -1.6251563   0.4816423  -0.8517358  -3.7615185
   0.465747    1.2194136   1.0488582  -1.1632161   0.512987    1.7933075
  -0.9937303   1.422471    0.87664235  0.66043633 -1.3524063  -1.369307
  -0.78748965 -0.34324545 -0.30278668 -0.45398152  0.794012    2.0536823 ]]"
161,2,"[[ 1.6545464   0.8504734  -2.219429   -0.3596146  -0.11400658 -4.3230886
  -0.43399066  0.7914756   1.2173576   0.4244647  -0.6928543   1.8648784
  -1.4721686   1.4445442  -1.6577313   0.67070043 -1.8651106  -0.6509756
   0.08257538 -0.0198434   0.35727414 -0.45169836 -0.00444734  0.6508073 ]]"
162,2,"[[ 0.6904042   1.2540375  -1.4893076   0.26483572 -1.3772993  -4.886453
  -1.1819482   0.20901072  2.0984216  -1.608099   -0.13789481  1.8618681
  -0.63473403  1.1878701  -0.23965657  1.0066278  -1.2020173  -0.8411127
  -0.6357901  -0.9534612  -0.71394205  0.35347936 -1.1322222   1.5510172 ]]"
163,2,"[[ 1.256419    0.20930216 -1.5629106  -0.22951868 -0.31150764 -5.2804704
   0.39082536  1.0312927   1.4363127  -0.24316567 -0.5973972   1.4227715
  -0.46942723  2.317749    0.18123555  2.0027766  -1.4327846  -0.92502105
  -0.6553738  -0.54460007  0.23231256  1.1627277  -0.9077593   1.3907869 ]]"
164,2,"[[ 1.469141   -0.04135191 -1.8383303   0.59538794 -1.7768505  -4.6723585
  -0.793044    1.1031619   1.2815348  -0.05698395  0.45295945 -0.37616432
  -0.8250652   1.8421564  -2.4733357   1.8869936  -1.0408349  -1.0940806
  -1.0501992  -1.539077   -0.13121897 -0.4527719   0.08659863  0.7521699 ]]"
165,2,"[[ 0.70361114 -0.9429701  -1.6259363   0.25155923 -0.05941629 -4.368457
  -0.62806296 -0.4370334   1.7604239   0.09190142 -0.24358413  1.5821998
  -0.3382273   1.8794265  -3.609093    1.4641037  -0.6138736  -1.5192163
   0.09174192 -1.6301134   0.38566732  0.41803464 -0.7750636   1.890146  ]]"
166,2,"[[ 0.5733442   0.5883652  -2.1482706  -0.36896855 -1.0163783  -4.1311684
  -0.5904474   1.3605042   1.7365189  -0.6662788   0.0655553   2.3289263
  -0.74974364  1.7647644  -1.4599885   1.3748275  -0.51399714 -2.0458784
  -1.347543    0.19704175 -0.6996367   1.4045281  -0.49154335  1.7765307 ]]"
167,2,"[[ 0.26109034  1.3283325  -2.5467746   0.63547313 -1.0952418  -3.9216967
  -0.37163448  0.5753652   2.0822263   0.03209388 -0.16595271  0.7972873
  -0.5103291   1.3126527  -1.999412    2.1636062  -0.707922   -0.7759198
  -1.1675845  -0.5108049  -0.21048334  0.07266699 -0.4216267   0.9428892 ]]"
168,2,"[[ 0.7094523   0.73715746 -1.53966    -0.15152462 -1.6119142  -4.1980357
  -0.24860626  0.79601574  2.748946   -0.41239303 -0.89947903  1.0074645
  -0.9887271   1.5065719  -1.3233728   1.8996286  -0.6565208  -0.74605936
  -1.5146257  -0.19407034 -0.67471266 -0.27300438 -1.3182626   1.6350518 ]]"
169,2,"[[ 0.96011364  2.1622717  -2.627881   -0.01437548 -0.8125835  -4.5286865
  -0.35612488 -0.11835039  1.0554891  -0.6421818  -0.78053164  0.61956793
  -1.8390975   1.1655991  -0.97353303  1.1342636  -0.9085406  -1.0202409
   0.4715014  -2.0256152   0.24984668  0.348787   -0.694712    0.7117478 ]]"
170,2,"[[ 0.95005745  0.13033515 -2.6120036   1.0501591  -1.4045925  -4.1972184
   0.4801275   0.97757196  2.2572522  -0.7762962  -1.2587261   0.5224367
  -1.4165604   2.331626   -2.0230489   1.6202934  -0.7398297  -1.3578358
  -0.7653273  -0.3754111  -0.8839585   0.7195185   0.58545256  2.2444208 ]]"
171,2,"[[ 1.2029462   0.2839934  -1.7225363  -0.40463662 -1.6653725  -4.193283
  -2.018097    1.5928113   1.6702914  -0.96044064 -0.54598355  1.0666313
  -0.8288982   1.0288286  -2.3901217   1.2226924  -0.9276109  -0.590945
  -0.4055617  -0.4029668  -0.6136658  -0.34634894 -1.1625025   2.1379774 ]]"
172,2,"[[-0.12263155  0.5169307  -1.5866537  -0.4505813  -1.8600512  -4.702007
  -0.8473723   1.1945541   1.2668841   0.05542088 -1.7504646   1.5365177
  -1.1815513   2.022983   -1.11679     2.610098   -1.0813789  -1.2266952
  -0.87869716 -0.9247438  -0.8209737  -1.1307385  -0.7867402   1.8397838 ]]"
173,2,"[[ 1.2297963   0.43482637 -2.6612306   0.5528442  -2.2768552  -4.2296233
  -0.84063864  1.7458286   2.3656855   0.77278465 -0.54976135  0.82495344
  -0.50483406  0.7924152  -1.6347752   1.161516   -1.2708218  -1.5272369
  -0.54755086 -1.0612776  -0.71924365  1.7917397   0.2275002   2.5090091 ]]"
174,2,"[[ 1.3300518   0.88557446 -2.229789   -0.2859494  -0.02726054 -4.1138115
  -0.6606789   1.2338486   1.825309   -0.36164686 -0.26461628  1.182206
  -0.458738    1.3744144  -1.1291715   1.6555952   0.61820954 -0.45856166
  -0.1889736  -0.9712647  -0.4683037  -1.220523   -0.3847365   1.2995738 ]]"
175,2,"[[ 0.84868765  0.466994   -2.8412237   1.1229273  -0.2874288  -3.9568636
  -0.95440775  0.733469    1.048911   -0.3810149   0.24639988  1.2362154
  -0.97662014  1.6841612   0.104339    1.6150187  -0.1049439  -1.3353549
  -0.61125964 -0.35154253 -1.0843098  -0.6039183  -0.5621547   1.0153618 ]]"
176,2,"[[ 0.8893531   0.6621569  -2.7850761   1.017626    1.0968684  -4.084358
  -0.3975961   1.9032993   1.6011472  -0.34099963 -1.2910178   0.9058661
  -1.0282688   1.8847744  -1.75356     2.1660933  -0.08113012 -1.1372409
  -0.6361638  -0.3754121  -0.12093323  1.0036031  -0.7600398   1.5203214 ]]"
177,2,"[[ 0.34059262  0.9667552  -2.5378985  -0.19844556 -0.7655117  -5.133519
  -1.004363    0.6081042   1.798433   -0.18618324 -0.03184608  1.4334738
  -1.5535576   2.023919   -0.41175938  1.6161375  -1.4741954  -0.25088817
  -0.9965298  -0.9570575   0.22219364  0.8919545  -0.32449555  0.883557  ]]"
178,2,"[[ 1.2627181   1.8872051  -2.4213395  -0.12983167 -0.7177695  -4.422337
  -0.81323326  1.2308702   1.8085291  -0.66175175  0.55183315  1.052215
  -1.2257504   0.7765598  -2.3388422   1.8804886  -0.43009552 -1.2416414
  -0.45997655 -1.103138   -0.9417554   0.00767738  0.13767707  1.871011  ]]"
179,2,"[[ 0.5461532   1.1250793  -1.9334102   0.64445895 -0.87515235 -3.5770674
   0.31699222  0.7257221   0.59260046 -1.3668821  -1.2152451   0.61327213
  -1.0344517   0.94693077 -1.6421221   1.5625618  -0.12093312 -1.1881953
  -1.3997892  -1.1137754  -0.55407673  0.5321063  -0.87186414  1.0362142 ]]"
180,2,"[[ 0.23241425  0.9516225  -1.3577073   1.0972198  -0.41301006 -4.9537196
  -1.3964164   1.9570234   1.4979774   0.03348416  0.5568969   0.45686617
  -0.99315244  1.2718349  -2.0320542   1.7411532  -0.7668337  -0.053177
  -0.97895575 -0.860733   -0.17660755  0.85703313 -0.21564299  1.1045845 ]]"
181,2,"[[ 1.0398096   0.7844952  -1.5462499   0.90000015 -1.3002088  -4.741222
  -0.09528354  1.8644383   1.027473   -1.4033403   0.34281546  0.4130838
  -0.6514527   0.58944476 -0.91386926  1.298038    0.42723027 -1.0866404
  -0.4463111  -0.52220905  0.64296114 -0.09781989 -0.7089195   1.5639349 ]]"
182,2,"[[ 1.1407925   0.8207227  -2.2568789   1.1626437  -0.91329795 -4.312133
  -0.6499115   0.8187988   1.357977   -0.7162612  -0.7049753   0.94422644
  -0.3522159   2.1280913  -1.4111392   1.4078947  -0.7062384  -1.0631559
  -0.87316865 -1.241431   -1.1338596   0.38812515 -0.7958463   0.7174187 ]]"
183,2,"[[ 0.15837187 -0.14133608 -0.70720553  0.9768148  -0.9796088  -4.1947184
  -0.34544206  1.5319467   2.5103133  -1.0743507   0.07186434  1.7441157
  -0.20952207  1.4744021  -2.4017692   1.6897033  -0.7912425  -0.3242842
  -0.5754052  -0.6580641  -0.47600332  1.1311891  -0.17903993  0.318542  ]]"
184,2,"[[ 0.592522    0.8678553  -1.3928313   0.14410143 -1.5101845  -5.0581846
   0.22061068  0.6340097   2.3440764  -0.13992408  0.16127932  0.6709362
  -0.46394494  0.92011476 -0.84000957  2.311914    0.04439002 -1.7910547
  -0.9290605   0.10596085 -0.30977643  0.10396636  0.24153364  2.4620502 ]]"
185,2,"[[ 1.463654    0.66155416 -2.6207914  -0.2960931  -1.5102496  -4.9333854
   0.09250888  0.5467933   0.8979136   0.6091051  -0.2428269   1.2766024
  -1.4818192   1.4315901  -0.9444714   1.5795863  -0.50182366 -2.1373837
   0.07390875 -0.8819882  -0.44066584  0.04134168 -0.9812865   1.4282396 ]]"
186,2,"[[ 1.8652096   1.1492492  -2.2150714  -1.1465924  -1.3620343  -4.5107446
  -0.67666775  0.4881261   1.8083662  -0.50406957  0.28324646  1.2419034
  -0.56764674  1.9413317  -2.03735     1.6844544   0.16146374 -1.1036898
  -0.46289185 -0.91587436 -0.3201249   0.3835133   0.01465237  1.6280189 ]]"
187,2,"[[ 0.41771573  0.9633306  -2.413178   -0.45854557 -0.08403385 -4.6653156
  -0.5028192   1.2374288   1.8147906  -1.1188217  -0.81013674  0.8797592
  -0.5542644   1.8242905  -1.0957682   2.0250518  -0.9093149  -1.7539853
  -0.70567423 -1.1321168  -0.0790109  -0.39883798  0.13427174  2.0914662 ]]"
188,2,"[[ 0.39757454  0.09111053 -1.7723267  -0.04373673 -1.1502348  -5.523628
  -0.04105517  0.45354772  1.8280897  -0.33031172 -0.81866246  1.0217974
  -1.2820151   0.7240418  -0.79103005  1.4285177  -1.1407307  -0.95705146
  -2.349495   -1.220309   -0.7015888  -0.17864457 -0.20561188  1.8018188 ]]"
189,2,"[[ 0.70621145  0.45194602 -1.6277728   0.7275235  -0.8188429  -4.40621
  -0.15506288  2.5607524   1.9895562  -0.6185663  -0.97535586  0.06301826
  -1.1766266   0.52531147 -3.282969    1.1968042  -0.0459851  -1.8160284
  -0.11348778 -0.85843974  0.75118697  0.18774834 -0.7244905   0.9593586 ]]"
190,2,"[[ 0.7177062   0.70888674 -1.7058716  -1.0321821  -0.9461133  -4.4617677
  -0.23327307  0.93720305  2.1116529  -1.2506806   0.3650728   1.1237392
  -1.4922626   1.0479159  -1.1141961   2.147522    0.03627801 -1.5916061
  -1.2320797  -0.18141818 -0.26703632 -0.7789396  -1.1891997   2.4466567 ]]"
191,2,"[[ 0.8579542  -0.3487435  -2.1631632   0.3159908  -0.7326963  -5.4551635
  -0.47194755  0.41203636  1.9741765  -0.32211912 -0.3827459   1.9873822
  -1.6005874   1.5679843  -1.5075424   1.0027332  -0.00926468 -1.0566553
  -0.7241621  -0.8260266  -0.7729814   1.0564399  -0.6766931   1.7327487 ]]"
192,2,"[[ 1.140853    0.3120641  -1.2198906  -0.07396702 -1.0929458  -4.042676
  -0.69632584  1.0455742   2.1278825  -0.73150533 -0.06569058  1.8757517
  -0.8332876   1.8632927  -3.3778696   2.1976902  -0.7541903  -0.8940269
  -0.00633872 -1.1752992  -1.1431222   0.44230247 -0.2133446   1.5354182 ]]"
193,2,"[[ 1.3969836   0.60101587 -2.386574   -0.6126692  -0.9591852  -4.597478
  -1.2645358   0.6826326   1.5318099  -0.90304077  0.07953939  1.1892729
  -1.2918584   1.3904539  -2.7252162   1.2174221  -0.84193003 -1.8175373
  -0.58275247 -0.96915734 -0.76863414  0.9115593  -1.06693     1.6214612 ]]"
194,2,"[[ 1.4941405   0.48524833 -0.64154387  0.01973204 -0.65579975 -4.7926664
  -0.37444004 -0.15067852  0.7583519  -0.64051616  0.10484427  1.1435415
  -1.1864853   0.9986861  -2.2525568   1.6576914  -1.6364785  -1.134697
  -0.12310743 -0.9199581  -0.18940853  0.24852034 -1.1536138   1.9521788 ]]"
195,2,"[[ 1.9171991   0.51130027 -1.6476796   0.87948537 -1.9789336  -4.117456
  -0.15142173 -0.06646466  1.2797154  -0.21944481 -0.6775845   1.4364252
   0.21911424  1.5927325  -1.3706832   1.0052891  -0.39370945 -0.17881244
  -0.3351256  -0.54934347 -0.37745294 -0.20783705  0.09715146  1.9927995 ]]"
196,2,"[[ 0.52311856  1.0271487  -1.0537977   0.33225235 -1.2825179  -4.3203344
  -1.5007206   1.5169015   2.1801503  -0.67355734 -0.574815    0.9972087
  -0.3656856   0.13793147 -0.04574394  1.8572819   0.7771845  -0.9988407
  -0.80591303 -1.1307869  -0.9726436   0.28082433 -0.94920945  1.5162407 ]]"
197,2,"[[ 1.9162433   0.9139812  -1.7815875  -0.03078339 -0.9509     -4.8904953
  -0.3257445   1.4696354   1.1759683  -0.91396534 -1.0759933  -0.05232972
  -0.53423274  1.6334922  -1.0906038   2.0319333   0.14312983 -0.43048692
  -1.210698   -1.6993293  -1.0242708   0.45625436 -0.03902733  1.6641839 ]]"
198,2,"[[ 0.31537342  0.5447017  -2.8051274   0.996986   -1.3537829  -4.275079
  -0.66757953  0.34085387  0.8277264  -0.31318867 -0.5716464   0.9744086
  -0.6114551   2.2778997  -0.71341896  1.0044144  -0.73190916 -1.1805459
  -0.21978241 -1.4983048   0.1516472  -0.0396221  -0.8517934   2.3513935 ]]"
199,2,"[[ 1.3476843   0.7821616  -1.5767169  -0.07400903 -0.15404361 -4.3584223
  -1.1641173   0.8285555   0.89711845  0.06245065 -0.42195815  0.8027736
  -1.1773674   0.27317297 -2.0364828   0.85827506 -0.45548224 -0.66705817
  -0.47842395 -0.8849424  -0.8718685   0.7889546  -1.265429    3.329125  ]]"
200,2,"[[ 0.7604813  -0.02180207 -2.293626    0.2662465  -1.9404197  -3.701064
   0.17305866  0.67697155  2.2904973  -1.7217126  -0.10075268  1.6339443
  -1.2113048   2.046877   -0.72574496  1.6211504  -0.48505726 -0.5617392
  -1.2936447  -0.49731836 -0.3990981  -0.11197069 -0.7374778   1.4922189 ]]"
201,2,"[[ 0.92799413  0.10317504 -2.069287    0.5309882  -1.9354924  -4.582809
  -0.05608481  0.78601086  1.2782364  -0.7778033  -0.32261512  0.6807556
  -0.5445559   1.7774723  -1.4436855   1.9126434   0.23139232 -1.667012
  -0.4498632  -0.9092758  -0.03517729  0.25255927 -1.2278802   1.0507356 ]]"
202,2,"[[ 1.8012875   0.37624055 -3.0295675   0.50457877 -0.5090089  -4.711234
  -1.2013092   1.6264579   1.6123879  -0.8521472  -0.6797117   1.5037051
  -0.71687376  1.5082184  -1.3743993   1.2948407   0.14560929 -1.3952284
  -0.53383917 -0.79592574 -1.0142001   0.23835152 -0.87362814  2.108839  ]]"
203,2,"[[ 0.47135898 -0.01622695 -2.2505772   0.71171886 -1.276525   -4.96994
  -0.06503251  0.5859604   1.2165089  -0.72738105 -0.74727213  1.8471278
  -1.2112035   1.9573693  -0.92900693  1.9373398  -0.5169532  -0.64562094
  -0.96323955 -0.5507382  -0.12597454  0.5991522  -0.45701873  0.02596045]]"
204,2,"[[ 1.3592827   1.3030698  -2.1607873  -0.10070622 -1.2017455  -4.6473894
   0.02417913 -0.3741045   1.9345164  -0.829372    0.96171474  0.19398874
  -1.5104318   0.85156643 -2.098689    1.3822842  -1.5364125  -1.5002993
  -0.3825203  -0.4665395  -0.6077534  -0.27247262 -0.6414808   1.8034353 ]]"
205,2,"[[ 0.52303183  1.6004872  -1.3689909  -0.0238999  -1.3236587  -4.3260865
  -0.11121714  1.7120037   0.8731662  -0.7481631   1.4614311   0.06704962
  -0.4751586   2.8991249  -0.63919294  0.82240444  0.19851911 -1.0945776
  -0.36253867 -0.60801315  0.6257199   0.11148199 -1.3466473   1.0555291 ]]"
206,2,"[[ 1.0043412   0.38882864 -0.786178    0.40700984 -1.92697    -5.2118607
  -1.2406825   1.4605901   0.95774025 -0.9314884  -0.60696363  1.3622677
  -0.61240804  1.997403   -1.8176994   1.7623847   0.28298056 -1.0131494
  -0.2718509  -0.6709913  -0.27780297 -0.01086774 -0.25860146  1.9886104 ]]"
207,2,"[[ 1.8637645e+00  5.6320667e-01 -2.5649452e+00 -1.5783367e-01
  -6.6051155e-01 -5.3298664e+00 -4.7523081e-03  1.2322682e-01
   1.6010514e+00 -8.4927607e-01 -6.4205486e-01  2.8789777e-01
  -1.1269670e+00  1.4908668e+00 -8.6210155e-01  1.8998493e+00
  -4.5480341e-01 -1.1750718e+00 -1.7987728e-02 -7.4715602e-01
   3.0720970e-01 -1.2030301e+00  8.5160136e-03  7.9537660e-01]]"
208,2,"[[ 1.3286105   0.5459575  -2.5625892   0.6773385  -1.9770384  -4.3348284
   0.10730827  1.8754004   1.9831257   0.41312677  0.14614451  0.19300628
  -1.6510526   0.67199767 -1.8959363   2.0336442  -0.93477327 -0.98338175
  -0.43131292 -0.12343538 -0.34508517 -0.13944033 -0.5519906   0.7115977 ]]"
209,2,"[[ 1.269334    1.1134969  -2.7374775  -0.33342987 -1.5283473  -4.844114
  -0.04364309  0.9174845   0.2762891  -0.253557   -0.47016847 -0.00581747
  -0.23402005  1.9822999  -1.3413262   1.76491    -0.7547874  -2.3731577
  -0.5736101  -0.6208467  -1.1596003   0.22967598 -0.3882289   2.63202   ]]"
210,2,"[[ 0.10014778  0.9283799  -2.1242878  -0.5260602  -1.7953221  -4.218603
  -0.33614337  1.596481    2.188969   -0.5777259  -0.87165356  1.5465324
  -1.4803724   1.660743   -1.8667792   1.3382249  -1.2770692  -0.53382456
  -0.6497343  -1.1708908  -0.17601171  1.3755269  -1.5398928   1.3061489 ]]"
211,2,"[[ 0.67228425  0.8685261  -1.6277609   0.62143004 -0.65369546 -4.3424773
  -0.44400096  2.0769854   1.3215826  -0.41452715 -0.04836699  1.2011483
  -1.5231242   0.8578686  -1.3773392   2.1125493  -0.14667296 -1.5741805
   0.03332603 -2.015767    0.33827645  1.4441326  -0.6572735   2.1302855 ]]"
212,2,"[[ 0.8559344   0.38922343 -2.3191993  -0.05965027 -1.983274   -4.8511214
  -0.181848    1.1931857   1.483536   -0.9130066  -0.36455423  2.3452182
  -0.7669264   1.4537416  -1.8181514   2.054325   -0.8622283  -1.4948931
  -2.0615675  -0.5875482  -1.8421099   0.7221537  -0.57984567  1.9836386 ]]"
213,2,"[[ 0.79431444  0.3599328  -1.5957656   0.08852763 -1.072705   -4.827087
  -0.08663964  1.6204537   1.4167068  -0.71793824 -1.3814361   1.4437904
  -0.06106573  1.45608    -0.8197092   1.2315133  -0.32349622 -1.3206198
   0.27846688 -0.666777   -0.5785922   0.9164922  -1.0775483   1.3673301 ]]"
214,2,"[[ 1.4050336   0.08175576 -1.9275821   0.1544058  -0.78356606 -4.1176867
  -1.0757384  -0.551401    0.63515073 -0.4417989   0.71866405  0.78339934
  -1.4420762   1.998372   -0.3110721   1.734277   -0.8554994  -0.09015214
  -0.5101907  -0.24785346  0.0530394  -0.4846962  -1.0843549   1.47504   ]]"
215,2,"[[ 8.6662346e-01 -2.4239421e-03 -1.1314032e+00 -2.3374140e-02
  -6.3336313e-01 -4.8493471e+00 -6.3293016e-01  1.3573129e+00
   8.3446020e-01 -5.5711567e-02 -7.2382319e-01  1.1524303e+00
  -5.0132847e-01  1.0871540e+00 -6.2200421e-01  1.4766283e+00
  -8.5621631e-01 -1.0520986e+00 -8.1990063e-01 -7.1973258e-01
  -1.2024388e+00 -9.6916687e-01 -9.5407724e-01  2.3263941e+00]]"
216,2,"[[ 1.0747672   0.9000815  -2.9328105   1.399713   -1.1602678  -4.5064
   0.06327894  1.1961511   2.3351803  -1.3064733  -0.00804293  1.2291371
  -1.1326257   0.96512157 -2.1913545   2.578451   -0.84157646  0.34072196
  -0.30166396 -1.2834985  -1.5485263  -0.5771099  -0.5691749   0.82493025]]"
217,2,"[[ 0.6461876   0.40126765 -2.2728975   0.14559153 -1.7531657  -4.738305
  -0.5271973   0.8863822   1.0460099   0.45334977 -1.6506374   0.1036647
  -0.6527703   2.0674815  -1.0843132   1.9006511   0.65229    -1.1322275
  -1.175519   -0.9590966  -0.737131    0.5595994  -1.2046459   1.7379366 ]]"
218,2,"[[ 1.555304    0.06615555 -1.8673413   0.6345308  -1.523932   -4.82878
   0.18034339  1.3668536   2.081783   -1.2519686  -0.20095688  0.27351916
  -1.3246529   1.3447741  -1.3214494   1.8195301  -1.1488225  -1.5150957
  -0.95296276 -0.7464     -1.1850939  -0.7815552  -0.42507488  1.5791626 ]]"
219,2,"[[ 0.929455    1.0946018  -1.0596652   0.41173747 -1.9991245  -4.7689075
   0.09162009  1.0032611   1.7846376  -0.90659064  0.13531661  0.36791247
  -1.0234377   1.7840849  -1.3505732   2.1204283  -0.654839   -1.959099
  -0.6108146  -1.2793301  -0.960963    0.85524255 -0.9345318   0.47917557]]"
220,2,"[[ 0.88948435 -0.05555677 -2.0649781   0.7910909  -3.22127    -4.478015
   0.07343662  0.8881997   1.2832249  -1.0685477   0.45776644  1.8350809
  -0.74969864  1.2227806  -0.937985    1.3952549  -1.05319    -2.2060046
   0.25382453 -0.7720784  -0.5948899  -0.38182327  0.09256136  1.5231246 ]]"
221,2,"[[ 0.6289541   0.86320555 -2.1446455  -0.6582051  -1.5590389  -5.0143194
  -0.5099541  -0.2089014   1.9484186  -0.26758027  0.72190666  1.0695463
  -0.8889193   0.44952506 -2.608686    1.9390802  -1.0607414  -1.307734
  -0.13941115 -0.35862738 -0.9583466   0.5069523  -0.7739589   1.6163845 ]]"
222,2,"[[ 1.1414491   1.2886863  -1.586307    0.21088329 -0.8796196  -3.9431717
  -0.0532051   1.5201641   2.7185292  -0.6840266   0.19625527  2.1663284
  -1.0620396   0.73396385 -2.3188133   1.3455653  -0.19447035 -2.2256765
  -0.68059707 -0.87657744 -0.01882982  0.32580104 -0.33413917  1.8804882 ]]"
223,2,"[[ 0.21043336  0.2552471  -2.8465343   0.5270591  -0.81172526 -5.0911584
   0.7596869   1.0503885   1.5462698  -1.2111863   0.10720077  0.74940443
   0.01452595  1.1518191  -1.2495452   1.9372451  -0.72192264 -0.817042
  -1.8665606  -0.88074404  1.1122793   1.8481537  -1.2341945   2.4531443 ]]"
224,2,"[[-0.81671333  0.99215907 -2.158084    0.83116245 -0.01980317 -4.006071
  -1.0100528   0.9689286   1.1714808  -0.82503915  0.1552465   1.7188249
  -0.64257216  2.2990448  -3.0517578   1.6484816   0.07891917 -1.7275472
  -1.2221649  -1.0843983   0.29667202  0.6205541  -0.4060412   1.5033776 ]]"
225,2,"[[ 0.91635054  0.75465566 -2.197658   -0.2878909  -0.38327307 -5.6448345
  -0.5095057   2.494484    1.8657134  -0.5190283  -1.319155    1.5251987
  -1.4441534   1.9735472  -3.2941837   1.7871987  -0.01005021 -1.5662582
  -0.16968226 -1.523828   -1.1590738   0.9167856  -1.1888719   2.7529466 ]]"
226,2,"[[ 0.9920795  -0.14801645 -1.843836   -0.3049037  -1.9544587  -4.4524474
  -0.20154893  0.16766596  2.4572973  -0.82939535 -0.8207412   0.15347064
  -0.87634224  1.6510642  -1.8788139   1.3244501  -0.31093156 -0.4014858
  -0.4087307  -0.9235561   0.5116353  -0.17278531 -1.5332638   1.1366884 ]]"
227,2,"[[ 0.36621666  1.2424247  -2.7233248   0.686482   -2.014782   -5.0767956
  -1.3698199   0.05614233  2.1644986  -1.2949095  -1.4321907   1.6801224
  -0.49774897  2.1160166   0.44326138  2.3212361   0.8937947  -0.4833681
  -0.82237864 -0.18607795 -0.29126126  0.07675937 -0.23021075  1.1678486 ]]"
228,2,"[[ 1.7339118   0.9262189  -2.359829    0.23785064 -0.23886532 -4.521876
  -0.1565708   1.0267955   0.95552266 -0.62161016 -1.33002     1.1250288
  -0.2991358   2.9647079  -1.2950523   1.2160751  -1.2426641  -0.7494282
  -0.7840062  -1.2097442  -1.4625486   0.8767034   0.09592551  0.91387045]]"
